# Stone poses after Tim Daw, stonehenge-block-3d, data/locked_poses.json
# commit 52e81ba412dfd6c912937b3b1212d962be67c21a, generated_at 2026-09-20T06:10:20Z, frame OSGB (British National Grid, metres)
# Licence CC BY-SA 4.0 (c) 2026 Tim Daw. Digitised from the M J Rees & Co 1989/90 survey,
# Historic England Archive MP/STO0861. yaw_deg is anticlockwise from grid east along the width axis.
# accuracy_class is Daw's own grade; seed_only and plan_digitised are placeholders, not survey.
petrie,role,status,e_m,n_m,yaw_deg,z_base_m,width_m,thickness_m,length_m,height_m,footprint_along_m,footprint_across_m,accuracy_class,height_source,hole_e_m,hole_n_m
80,altar,recumbent,412243.118,142192.177,-40.82,,4.63,1.003,,0.1,4.63,1.003,locked,pink,,
91,station_stone,standing,412285.696,142173.451,-37.04,0.0,2.466,1.389,,1.0,2.466,1.389,seed_only,scene.json (AGL placeholder — no OD seating yet),412284.712,142174.194
92,station_stone,standing,412258.835,142151.708,0.0,0.0,1.2,1.2,,1.0,1.2,1.2,plan_digitised,placeholder 1.0 m AGL — no OD seating,,
93,station_stone,standing,412207.09,142212.978,66.01,0.0,1.095,0.746,,1.22,1.095,0.746,seed_only,scene.json (AGL placeholder — no OD seating yet),,
94,station_stone,standing,412232.264,142234.366,0.0,0.0,1.2,1.2,,1.0,1.2,1.2,plan_digitised,placeholder 1.0 m AGL — no OD seating,,
95,slaughter_stone,standing,412280.421,142221.26,50.0,0.0,6.447,2.066,,1.0,6.447,2.066,seed_only,scene.json (AGL placeholder — no OD seating yet),,
96,heelstone,standing,412306.629,142243.653,-34.33,0.0,2.351,2.021,,4.57,2.351,2.021,seed_only,scene.json (AGL placeholder — no OD seating yet),,
101,sarsen_lintel,present,412257.258,142203.75,-54.69,0.0,3.604,1.05,3.604,0.8,3.604,1.05,thickness_normed,vertical thickness normed so top OD = lintel 101 top OD (2026-09-19),,
102,sarsen_lintel,present,412259.114,142201.038,-58.62,0.0,3.123,1.05,3.123,0.728,3.123,1.05,thickness_normed,vertical thickness normed so top OD = lintel 101 top OD (2026-09-19),,
105,sarsen_lintel,present,412260.823,142192.059,85.66,0.0,3.023,1.05,3.023,0.6175,3.023,1.05,thickness_normed,vertical thickness normed so top OD = lintel 101 top OD (2026-09-19),,
107,sarsen_lintel,present,412258.734,142185.73,60.87,0.0,3.268,1.05,3.268,0.7065,3.268,1.05,thickness_normed,vertical thickness normed so top OD = lintel 101 top OD (2026-09-19),,
120,sarsen_lintel,fallen,412227.842,142196.34,0.93,0.0,1.607,0.99,,0.8,1.607,0.99,locked,default fallen lintel vertical 0.80 m,,
122,sarsen_lintel,present,412232.486,142201.734,58.44,0.0,3.24,1.05,3.24,0.682,3.24,1.05,thickness_normed,vertical thickness normed so top OD = lintel 101 top OD (2026-09-19),,
127,sarsen_lintel,fallen,412245.672,142209.732,81.38,0.0,2.342,0.793,,0.8,2.342,0.793,locked,default fallen lintel vertical 0.80 m,,
130,sarsen_lintel,present,412254.897,142206.051,-36.32,0.0,3.119,1.05,3.119,0.718,3.119,1.05,thickness_normed,vertical thickness normed so top OD = lintel 101 top OD (2026-09-19),,
150,bluestone_lintel,fallen,412256.833,142196.463,52.91,0.0,2.49,0.609,,0.5,2.49,0.609,plan_locked,placeholder_fallen_bluestone_lintel,,
152,trilithon_lintel,present,412253.295,142190.539,47.74,0.0,5.402,1.515,,0.8,5.402,1.515,locked,placeholder_fallen_agl,,
154,trilithon_lintel,present,412246.376,142186.059,24.17,0.0,4.857,1.361,,0.8,4.857,1.361,locked,placeholder_fallen_agl,,
156,trilithon_lintel,fallen,412241.936,142192.951,67.05,0.1,4.68,0.95,,1.05,4.68,0.95,locked,pink,,
158,trilithon_lintel,present,412238.118,142196.097,58.84,0.0,5.375,1.55,,0.8,5.375,1.55,locked,placeholder_fallen_agl,,
160a,trilithon_lintel,fallen_fragment,412246.655,142199.077,-173.47,0.0,1.2,1.0,,0.8,1.2,1.0,seed_only,placeholder_fallen_agl,,
160b,trilithon_lintel,fallen_fragment,412248.146,142197.623,-173.47,0.0,1.169,1.542,,0.8,1.169,1.542,locked,placeholder_fallen_agl,,
160c,trilithon_lintel,fallen_fragment,412249.405,142195.54,15.32,0.0,1.447,1.343,,0.8,1.447,1.343,locked,placeholder_fallen_agl,,
